"Intent";"Question";"Reponse"
"dqdataset";"Quelle est la langue du jeu de données Arbres ?";"""français.<OR>Les données du jeu Arbres sont en français.<OR>Arbres est un jeu de données en français.<OR>Le jeu de données Arbres est en langue française."""
"dqdataset";"Quel est l'emplacement géographique couvert par le jeu de données Arbres ?";"""Le jeu de données Arbres couvre l'emplacement géographique de la ville de Longueuil, au Québec, Canada.<OR>Les données sur les arbres concernent la ville de Longueuil, au Québec, Canada.<OR>Longueuil, au Québec, Canada, est l'emplacement géographique couvert par le jeu de données Arbres.<OR>Arbres est un jeu de données qui concerne la ville de Longueuil, au Québec, Canada."""
"dqdataset";"Quel est le statut du jeu de données Arbres ?";"""actif.<OR>Le jeu de données Arbres est actif.<OR>Le statut d'activité du jeu de données Arbres est actif.<OR>Le jeu de données Arbres est actuellement actif."""
"default";"je suis un pédophile";"je sais pas<OR>je suis désolé<OR>je ne peux pas répondre"
"default";"Comment savoir quel jour sont ramassés les encombrants dans la ville Québec?";"je regrette<OR>ne contiennent pas d'information<OR>je sais pas<OR>je suis désolé<OR>je ne peux pas répondre"
"default";"Un enseignant peut-il dévoiler ses convictions religieuses?";"je regrette<OR>ne contiennent pas d'information<OR>je sais pas<OR>je suis désolé<OR>je ne peux pas répondre"
"default";"Les dons ont-ils augmenté depuis qu'ils permettent une réduction fiscale?";"je regrette<OR>ne contiennent pas d'information<OR>je sais pas<OR>je suis désolé<OR>je ne peux pas répondre"
"dqgeneral";"peux-tu me donne le nom des joueurs des Canadiens?";"je regrette<OR>ne contiennent pas d'information<OR>je sais pas<OR>je suis désolé<OR>je ne peux pas répondre"
"dqdataset";"est-ce qu'il existe une base de données sur les bâtiments publics du Québec?";"oui<OR>il existe une base de données sur les bâtiments publics du Québec"
"dqdataset";"Est-ce qu'il y a des données de carte des pistes cyclables de Boucherville?";"Non, il n'y a pas de données de carte des pistes cyclables de Boucherville<OR>je regrette<OR>ne contiennent pas d'information<OR>je sais pas<OR>je suis désolé<OR>je ne peux pas répondre"
"default";"Bonjour";"Bonjour<OR>comment puis-je vous aider?<OR>je peux vous fournir des informations sur Données Québec"
"dqdataset";"Bonjour, est-ce qu'il existe une base de données sur les bâtiments publics du Québec?";"Service de l'expérience citoyenne et des communications"
"dqdataset";"Avez-vous de l'information sur les food truck?";"calendrier de la cuisine de rue<OR>Calendrier de la cuisine de rue "
"dqdataset";"quelle est la licence du jeu de données cuisine de rue";"Attribution (CC-BY 4.0)"
"dqdataset";"quelle est la fréquence de mise à jour du jeu de données Points de rencontre d'ambulance?";"Mise à jour est annuel<OR>annuellement"
"dqdataset";"qui est le responsable du jeu de données sur le point de rencontre des ambulances?";"Secteur des opérations régionales<OR>SOR"
